reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOEcWS_b8b4P2gClKovxXAPg3il0AD0ZnGw9RxYItyJTAKoAOqhJ2Yjke7nmR1tCHWr1CqBeZSJrwivjyQ,H G,https://play-lh.googleusercontent.com/-2Zyc1Oz-mys/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNttE5TrkCrUuRraul5uIVUVSsTg/photo.jpg,"Unable to use it as it won't work with my Google calendar. Tech support is horrible - ""Tali"" keeps asking for a screenshot of the native calendar she thinks came with the phone. It's a Motorola Edge that is all stock Android, thus Google calendar. They don't get it, and refuse to escalate my request for help to a higher level. EDIT: Now your team has a copy of the chat from Motorola explaining that there is no ""native"" calendar app other than Google. Since you know my case in this review area, your tech dept must be tiny. I really wanted to like this app, but it's very buggy with the Google calendar app it's advertised to work so well with.",1,13,5.7.0.20,11/01/2021 01:12,"As our team explained profusely, we sync data from the device's native calendar, and not directly from Google. We have worked with many Motorola users in the past, and had no issue with receiving the relevant screenshots from the native calendar app. Once you are able to provide the same, we will do our best to resolve this issue for you asap!",10/01/2021 12:58,most_relevant,com.anydo
gp:AOqpTOEidRmDaHGYPZW21SVfBkeqTruAzg7LAmCPL2_77M1-entbRVbm9qyeHst0_ii-1ovgAsfyaMj8pjQqtQ,Michelle Armstrong,https://play-lh.googleusercontent.com/a-/AOh14GhDGgEFeGRywUYWhWKfp0zbYzTXvNa_5meXubf_Kfg,"I downloaded this because of the cross platform syncing. I only purchase apps after learning the free version. I see the potential but will delete because: 1) constant advertising the premium version - which is keeping me from being productive - which is counter productive 2) It seems on desktop version that I don't have a choice on calendar to see day, 3 days, week, month 3) and again the pop up for premium Anyway. On to the next planner app.",1,81,5.7.0.20,22/12/2020 18:31,"The Premium ad only shows up when first opening the app, and when clicking on a Premium feature. You can opt out by clicking on 'No, Thanks' on the ad. The Calendar view on the desktop app, currently supports the Agenda view, though, we are currently working on adding further functionality to the desktop calendars, so keep an eye out for updates :)",23/12/2020 19:58,most_relevant,com.anydo
gp:AOqpTOEJfVU5Os7_8CNOu_mpy2AlDz8kFxEFMeBMnxCySiiHKwCFJhdnyDnC0jlwjCYlXYWIcdbTJ7Fgr178gw,YiÄŸitcan SÃ¼mbelli,https://play-lh.googleusercontent.com/a-/AOh14Gi04uZr3dqi4yazx3yYnwyUwNYFiFzAMxCpvuRV8O0,"I am starting to hate this app! Every time they update, I start to have the exact same problem; I cannot edit/delete any of my events through any.do app. When I contact them about the issue, they just suggested me to check&uncheck my calendars and it was not helpful at all (even though I believe they really tried to help)! The problem went away magically at the first time but after an update, it came back now. Ugh, so annoying!",1,67,5.7.0.10,02/12/2020 15:52,"Hi, please note that these issues usually are a result of a calendar that wasn't synced properly, and therefore we suggest to uncheck it and then re-check it again. That said, we're unaware of any issues with the calendars, so that sounds odd. Please send us a bug report via your app Settings - Support, so we can get to the bottom of this.",03/12/2020 20:47,most_relevant,com.anydo
gp:AOqpTOFSPaoOVarqwKF86e7-TPUyV6BanSXKRNFGb6GX_IgwxLKPhhVrca1vDQQznQBViZ2_dSjf9w4kTBzAqw,Jon Pember,https://play-lh.googleusercontent.com/-97UNn5DTw1s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckyV370cHgdk2ydVqAcMBqefx0LuA/photo.jpg,"Liked Any.do at first, enough that I even signed up for premium so I could schedule reoccurring tasks. However, I soon learned that it doesn't interface with Google Calendars the way that it claims. Instead, you have to sign up for a 3rd party service called Zapier. The link never worked right. Anything I scheduled in Any.do would stay there and not sync. Initially my purchase receipt said ""cancel anytime,"" but now they won't refund the 10 months of service I haven't used. Left a bitter taste.",1,102,5.7.0.10,22/11/2020 23:42,"Please note that Any.do integrates directly with Google Calendar, and you can sync your calendar per the instructions on our Help Center here- support.any.do/calendar-setup. From checking our records, we can see that you have an ongoing ticket with our Support team, that is currently pending your reply. We are happy to help with any questions :)",25/11/2020 13:30,most_relevant,com.anydo
gp:AOqpTOEmghRiCCy0_FYbWBSoRm2ff2hzFTbEjgQ9svuACFm5MN18tHl3Xc1U96kkz1SGVLzwnMZGWPMDi7-SIw,Harry Wexler Jr. MBA,https://play-lh.googleusercontent.com/a-/AOh14Gi83VJPpToq-_Nu0aKriLO0bSzbVq2XQC-w1zPQldc,"They made me sign up for premium just to have recurring alerts, then don't even have a hourly option. I got this app because it showed up during my search. I want a tasks that reminds me multiple times a day.",1,2,5.7.0.20,31/12/2020 01:49,"We never require users to upgrade, as 90% of the app is completely free, including the Recurring Reminders, as well as all core functionality. Please note that our Product team has already started working on implementing hourly reminders, and you are welcome to add your vote and receive updates on our UserVoice forum, here: bit.ly/35gv0ED.",31/12/2020 20:40,most_relevant,com.anydo
gp:AOqpTOHhd6uZpuhbBDDxEB1SwF8zXXUh8sg6AMGlkBx07LVlypALsg6hKBFUsrRK6cS_cRTANBOdKPRUSYcm3w,Chris Keyes,https://play-lh.googleusercontent.com/a-/AOh14GgoGR4lPoQKaD0gKYeL5KjNL2GseSlvycaGQ7pmfzQ,"I paid premium for years. No more! This app has become unreliable. It randomly reorders my daily tasks & listings/very frustrating. It drops tasks currently due to the someday category thus you do them last accidently. And, the sync feature bites. If you use the app at all use only the free version. At least your frustration will not cost you your hard earned money! In reply to Any.do (below) With all due respect your app DOES exactly what I described. I did ask help. You failed me repeatedly!",1,27,5.7.0.10,15/12/2020 00:58,"Sorry you feel this way. Any.do does not change the order of tasks automatically, and you can change the sorting of your lists anytime, from 'List' to 'Time' to see your current day's tasks. From checking our records, we can see you have reported a bug, which is worked on by our Dev Team. We'll be sure to let you know as soon as a fix is released!",17/12/2020 09:28,most_relevant,com.anydo
gp:AOqpTOGOU1svA5gsifHKHFSziUGg7FDs9zR0HbVyXyatKl6FLMQSbTjVHWxnDsKddQej2CZxXn1Uc3rk6-sZNA,trina croll,https://play-lh.googleusercontent.com/a-/AOh14GjePmkarNd8U9qVaOY4b4T7f71fqc4u4L7B4NY4NKk,Can't get into my account and it's been days going back and forth with days in between taking support to answer. I can't log in or use forget password doesn't work! I used this every day before. Guess it's time for a new app! Because I've lost everything since I can't access it!,1,29,5.7.0.20,21/12/2020 01:58,,,most_relevant,com.anydo
gp:AOqpTOHXCYcQhDFYE7cKVHMucq0K3jHSLN3VyKM-S33nUWMcXXKTTyE_2E5XfJ1OJiwIPyj0L6o-eIC8joCrlA,Leslie Boston,https://play-lh.googleusercontent.com/a-/AOh14GiuRXy8iMKzI_hwhtDYLxcKYsa73BOzD5UUPpe3,"What happened?? I have this app installed on my phone and it works beautifully as a calendar. Bought a new phone and the Cal app is now a full planner and to-do list. Thanks for complicating my life with every useless feature I don't want and specifically loved the Cal app for *not* including. EDIT--""Minimalist"" does not describe this app. Certainly not compared to what you used to offer.",1,0,5.7.0.20,12/01/2021 20:19,"The Cal app was deprecated a while ago as Any.do is now offering a full solution for calendar and list management. While we have millions of satisfied users world wide, we are aware that some users has different preferences and encourage you to find the proper solution for your requirements:)",14/01/2021 13:09,most_relevant,com.anydo
gp:AOqpTOHC9wsU-HLinbROjqYZRm4NUJjGnAv1DW-q77s054nwwLIIxFaVO0t-yaJyKSSXq_tYq0z7BBj-4OXraQ,Vincent Geist,https://play-lh.googleusercontent.com/a-/AOh14GgaUncmydKrs25pdaRf8oLWZZ7lTSrbLoDI758C,"It's a good app, but for gods sake, I do not care for the pop ups telling me to add things to my calendar. If I needed to add something, I would. Please allow me to disable that. Edit: It has been a year, and they still have this. I'm just uninstalling.",1,6,5.7.0.20,31/12/2020 23:37,"We apologize for any inconvenience caused! We are not sure what pop ups you a referring to, please send us a screenshot or more details via https://www.any.do/contact_form so our team can look into it for you.",05/01/2021 12:37,most_relevant,com.anydo
gp:AOqpTOFOMJm6gPhQGFEmR8hMaSJgkzRL6REQtJ_DrbRLd5SMwU_elNAUsVGTfCngt8hla6kA8QFh19Cu0NMg-g,Shinobi Genesis,https://play-lh.googleusercontent.com/a-/AOh14Gg0ANGATjhB1KQvZ1baChg29B_ExI9UvWd7Zax9MQ,"Monthly fee for the main feature that anyone would use it for, which is what the default alarms cannot do. 1*. I wouldn't even need it for anything else, every smart phone comes with the features that this app offers for free. Smh",1,0,5.7.0.20,07/01/2021 21:07,,,most_relevant,com.anydo
gp:AOqpTOG8zptKZHrUAld8oQSVgNVsOhvt9me_MaHTQWqAqY06n10MDRKlYambvIUdfiSeDqgILDeGCpEGK0DqOQ,Melinda Casalicchio,https://play-lh.googleusercontent.com/-nM7-SF6oJmo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckX0jQ2IJSwoWBi9N3_3Oi2teP_wQ/photo.jpg,Been using this for ages. Used it this morning to remind me while out shopping. An hour later it is insisting i sign in and won't let me back in. WHY??? Thanks but I've now uninstalled your app and found an easier to use alternative.,1,0,5.7.0.10,13/12/2020 21:30,"Hi Melinda, we recommend that you try logging in once more, making sure to use the same method you've created your account with: Email/ Google/ Facebook (support.any.do/account-and-profile). We'll be happy to assist further, though, if this is not the type of solution you are looking for, we respect your decision to move to a different app.",17/12/2020 08:45,most_relevant,com.anydo
